,CIK,Ticker,Name,Exchange,SIC,Business,Incorporated,IRS,Bloomberg,,,,
9,948846,AAI,Airtran Holdings Inc,,4512,FL,NV,582189551,AAI US Equity,,,,AAI US Equity
12,6201,AAL,American Airlines Group Inc,NASDAQ,4512,TX,DE,751825172,AAL US Equity,,,,AAL US Equity
104,904020,ACAI,Flyi Inc,,4512,VA,DE,133621051,,,,,ALGT US Equity
497,1362468,ALGT,Allegiant Travel Co,NASDAQ,4512,NV,NV,204745737,ALGT US Equity,,,,ALK US Equity
502,766421,ALK,Alaska Air Group Inc,NYSE,4512,WA,DE,911292054,ALK US Equity,,,,ANS US Equity
722,1011696,ANS,Airnet Systems Inc,NYSE MKT,4512,OH,OH,311458309,ANS US Equity,,,,AWAQC US Equity
1182,1029863,AWA,America West Holdings Corp,,4512,AZ,DE,860847214,AWAQC US Equity,,,,DAL US Equity
1623,869187,BLTA,Baltia Air Lines Inc,OTC,4512,NY,NY,112989648,,,,,FRNTQ US Equity
1995,319687,CAL,United Airlines Inc,,4512,IL,DE,742099724,,,,,FRNTQ US Equity
3303,27904,DAL,Delta Air Lines Inc,NYSE,4512,GA,DE,580218548,DAL US Equity,,,,GLUX US Equity
4866,921929,FRNT,Frontier Airlines Inc,,4512,CO,CO,841256945,FRNTQ US Equity,,,,HA US Equity
4867,1351548,FRNT,Frontier Airlines Holdings Inc,,4512,CO,DE,204191157,FRNTQ US Equity,,,,JBLU US Equity
5197,1405419,GIA,Gulfstream International Group Inc,NYSE MKT,4512,FL,DE,203973956,,,,,LCC US Equity
5269,914397,GLUX,Great Lakes Aviation LTD,OTC,4512,WY,IA,411135319,GLUX US Equity,,,,LUV US Equity
5568,1172222,HA,Hawaiian Holdings Inc,NASDAQ,4512,HI,DE,710879698,HA US Equity,,,,MEH US Equity
5887,899394,HRBR,Harbor Biosciences Inc,OTC,2834,CA,DE,133697002,,,,,MESA US Equity
6664,1158463,JBLU,Jetblue Airways Corp,NASDAQ,4512,NY,DE,870617894,JBLU US Equity,,,,NWA US Equity
7072,701345,LCC,US Airways Group Inc,NYSE,4512,AZ,DE,541194634,LCC US Equity,,,,SAVE US Equity
7370,92380,LUV,Southwest Airlines Co,NYSE,4512,TX,TX,741563240,LUV US Equity,,,,SKYW US Equity
7432,835768,MAIR,Mesaba Holdings Inc,,4512,MN,MN,411616499,,,,,UAL US Equity
7645,948845,MEH,Midwest Air Group Inc,NYSE MKT,4512,WI,WI,391828757,MEH US Equity,,,,RHWI US Equity
7670,810332,MESA,Mesa Air Group Inc,,4512,AZ,NV,850302351,MESA US Equity,,,,XJT US Equity
8866,1058033,NWAC,Northwest Airlines Corp,NYSE,4512,MN,DE,411905580,NWA US Equity,,,,VA US Equity
9774,1166291,PNCL,Pinnacle Airlines Corp,,4512,TN,DE,30376558,,,,,
10450,1159154,RJET,Republic Airways Holdings Inc,NASDAQ,4512,IN,DE,61449146,,,,,
10759,1498710,SAVE,Spirit Airlines Inc,NASDAQ,4512,FL,DE,381747023,SAVE US Equity,,,,
11164,793733,SKYW,Skywest Inc,NASDAQ,4512,UT,UT,870292166,SKYW US Equity,,,,
12540,100517,UAL,United Continental Holdings Inc,NYSE,4512,IL,DE,362675207,UAL US Equity,,,,
12933,1088734,VIVI,River Hawk Aviation Inc,,4512,MI,DE,223537927,RHWI US Equity,,,,
13555,1144331,XJT,Expressjet Holdings Inc,NYSE,4512,TX,DE,760517977,XJT US Equity,,,,
,101001,,United Air Lines,,,,,,,,,,
,1614436,VA,Virgin America Inc.,,,,,,VA US Equity,,,,
,,,US Airways Inc,,,,,,,,,,
,4515,,American Airlines Inc. ,,,,,,,,,,
,3202,,Alaska Airlines,,,,,,,,,,
