Date,AAI US Equity,AAL US Equity,ALGT US Equity,ALK US Equity,ANS US Equity,AWAQC US Equity,DAL US Equity,FRNTQ US Equity,FRNTQ US Equity,GLUX US Equity,HA US Equity,JBLU US Equity,LCC US Equity,LUV US Equity,MEH US Equity,MESA US Equity,NWA US Equity,SAVE US Equity,SKYW US Equity,UAL US Equity,RHWI US Equity,XJT US Equity,VA US Equity
2001-01-02,6.875,#N/A,#N/A,7.3906,3.8125,#N/A,#N/A,19.2083,19.2083,0.9375,2.125,#N/A,#N/A,22.3067,14.9375,#N/A,#N/A,#N/A,27.5,#N/A,58559.98829,#N/A,#N/A
2001-01-03,7.1875,#N/A,#N/A,7.9844,3.8125,#N/A,#N/A,20.3333,20.3333,1.0625,2.125,#N/A,#N/A,21.9067,15.3125,#N/A,#N/A,#N/A,28.8125,#N/A,68159.98637,#N/A,#N/A
2001-01-04,7.375,#N/A,#N/A,8.5,3.8125,#N/A,#N/A,20.5625,20.5625,1,2.1875,#N/A,#N/A,23.1667,17.1875,#N/A,#N/A,#N/A,27.4375,#N/A,73919.98522,#N/A,#N/A
2001-01-05,7.375,#N/A,#N/A,8.4531,3.75,#N/A,#N/A,21.1667,21.1667,#N/A,2.1875,#N/A,#N/A,23.2667,18.375,#N/A,#N/A,#N/A,27.75,#N/A,68159.98637,#N/A,#N/A
2001-01-08,7.375,#N/A,#N/A,8.4688,3.75,#N/A,#N/A,20.9583,20.9583,0.9375,2.1875,#N/A,#N/A,22.6667,18.125,#N/A,#N/A,#N/A,26.875,#N/A,71999.9856,#N/A,#N/A
2001-01-09,7.1875,#N/A,#N/A,7.7344,3.8125,#N/A,#N/A,21.2917,21.2917,0.875,2.1875,#N/A,#N/A,21.3467,17.75,#N/A,#N/A,#N/A,26,#N/A,73919.98522,#N/A,#N/A
2001-01-10,7.0625,#N/A,#N/A,7.7188,3.75,#N/A,#N/A,22.4583,22.4583,1,2.25,#N/A,#N/A,21.3,17.5,#N/A,#N/A,#N/A,25.0625,#N/A,75839.98483,#N/A,#N/A
2001-01-11,7.5,#N/A,#N/A,7.5469,3.8125,#N/A,#N/A,22.0833,22.0833,1,2.375,#N/A,#N/A,20.5667,17.3125,#N/A,#N/A,#N/A,24.6875,#N/A,67199.98656,#N/A,#N/A
2001-01-12,7.1875,#N/A,#N/A,7.4688,3.8125,#N/A,#N/A,21.7917,21.7917,1.125,2.5,#N/A,#N/A,20.4467,17.375,#N/A,#N/A,#N/A,24.5625,#N/A,70079.98598,#N/A,#N/A
2001-01-16,7.5,#N/A,#N/A,7.5,3.8125,#N/A,#N/A,22.5833,22.5833,1.125,2.5,#N/A,#N/A,19.88,17.1875,#N/A,#N/A,#N/A,22,#N/A,73919.98522,#N/A,#N/A
