,AAI US Equity
2001-01-02,6.875
2001-01-03,7.1875
2001-01-04,7.375
2001-01-05,7.375
2001-01-08,7.375
2001-01-09,7.1875
2001-01-10,7.0625
2001-01-11,7.5
2001-01-12,7.1875
2001-01-16,7.5
2001-01-17,7.375
2001-01-18,7.125
2001-01-19,7
2001-01-22,7.375
2001-01-23,7.875
2001-01-24,8.0625
2001-01-25,8.0625
2001-01-26,8.5625
2001-01-29,9.1
2001-01-30,10
2001-01-31,10.38
2001-02-01,10.08
2001-02-02,9.59
2001-02-05,10.22
2001-02-06,10.09
2001-02-07,9.99
2001-02-08,9.7
2001-02-09,9.5
2001-02-12,9.37
2001-02-13,9.69
2001-02-14,9.71
2001-02-15,9.88
2001-02-16,9.55
2001-02-20,9.29
2001-02-21,9.29
2001-02-22,8.69
2001-02-23,8.8
2001-02-26,9.35
2001-02-27,8.99
2001-02-28,9.2
2001-03-01,8.7
2001-03-02,9
2001-03-05,9.26
2001-03-06,9.63
2001-03-07,9.65
2001-03-08,9.4
2001-03-09,8.9
2001-03-12,7.9
2001-03-13,7.8
2001-03-14,7.8
2001-03-15,7.5
2001-03-16,7.14
2001-03-19,7
2001-03-20,7.15
2001-03-21,7.41
2001-03-22,7.16
2001-03-23,7.48
2001-03-26,7.82
2001-03-27,8
2001-03-28,7.84
2001-03-29,7.84
2001-03-30,7.84
2001-04-02,8.1
2001-04-03,7.74
2001-04-04,7.97
2001-04-05,8.23
2001-04-06,8.2
2001-04-09,8.5
2001-04-10,8.79
2001-04-11,9.05
2001-04-12,9
2001-04-16,9.39
2001-04-17,9.29
2001-04-18,9.84
2001-04-19,9.84
2001-04-20,9.88
2001-04-23,9.49
2001-04-24,9.4
2001-04-25,9.79
2001-04-26,9.65
2001-04-27,9.5
2001-04-30,9.3
2001-05-01,9.25
2001-05-02,9.27
2001-05-03,9.29
2001-05-04,9.23
2001-05-07,9.05
2001-05-08,9.05
2001-05-09,8.95
2001-05-10,8.98
2001-05-11,9.19
2001-05-14,9.16
2001-05-15,9.05
2001-05-16,9.05
2001-05-17,9.12
2001-05-18,9.1
2001-05-21,9.34
2001-05-22,9.9
2001-05-23,9.81
2001-05-24,9.7
2001-05-25,10.15
2001-05-29,10.59
2001-05-30,10.94
2001-05-31,10.76
2001-06-01,10.9
2001-06-04,11.3
2001-06-05,11.18
2001-06-06,11.03
2001-06-07,10.82
2001-06-08,10.73
2001-06-11,11
2001-06-12,11.33
2001-06-13,11.56
2001-06-14,12.01
2001-06-15,11.97
2001-06-18,11.95
2001-06-19,11.3
2001-06-20,11.02
2001-06-21,10.88
2001-06-22,9.1
2001-06-25,8.76
2001-06-26,8.24
2001-06-27,9.25
2001-06-28,10
2001-06-29,10.25
2001-07-02,9.6
2001-07-03,9.95
2001-07-05,9.97
2001-07-06,10.04
2001-07-09,10.54
2001-07-10,10.33
2001-07-11,10.22
2001-07-12,10.25
2001-07-13,10
2001-07-16,9.55
2001-07-17,9.48
2001-07-18,9.24
2001-07-19,9
2001-07-20,9
2001-07-23,9
2001-07-24,8.8
2001-07-25,8.86
2001-07-26,9.12
2001-07-27,8.85
2001-07-30,8.61
2001-07-31,8.6
2001-08-01,8.76
2001-08-02,8.55
2001-08-03,8.48
2001-08-06,8.36
2001-08-07,8.5
2001-08-08,8.6
2001-08-09,8.5
2001-08-10,8.52
2001-08-13,8.5
2001-08-14,8.4
2001-08-15,8.37
2001-08-16,8.23
2001-08-17,7.8
2001-08-20,7.69
2001-08-21,7.7
2001-08-22,7.18
2001-08-23,5.96
2001-08-24,5.99
2001-08-27,6.01
2001-08-28,6.2
2001-08-29,6.7
2001-08-30,6.6
2001-08-31,6.53
2001-09-04,6.53
2001-09-05,6.2
2001-09-06,6.08
2001-09-07,5.97
2001-09-10,6
2001-09-17,3.62
2001-09-18,3.49
2001-09-19,3.4
2001-09-20,3.03
2001-09-21,3.1
2001-09-24,3.1
2001-09-25,3.24
2001-09-26,3.61
2001-09-27,3.75
2001-09-28,4.24
2001-10-01,4
2001-10-02,4.22
2001-10-03,4.5
2001-10-04,4.49
2001-10-05,4.14
2001-10-08,3.98
2001-10-09,3.78
2001-10-10,4
2001-10-11,4.39
2001-10-12,4.12
2001-10-15,4.08
2001-10-16,4.13
2001-10-17,4.03
2001-10-18,3.88
2001-10-19,3.88
2001-10-22,3.98
2001-10-23,3.95
2001-10-24,3.89
2001-10-25,3.95
2001-10-26,3.89
2001-10-29,3.7
2001-10-30,3.51
2001-10-31,3.78
2001-11-01,3.9
2001-11-02,3.9
2001-11-05,4.05
2001-11-06,5.05
2001-11-07,4.85
2001-11-08,5.04
2001-11-09,5.22
2001-11-12,5.05
2001-11-13,5.22
2001-11-14,5.44
2001-11-15,5.51
2001-11-16,5.72
2001-11-19,6.03
2001-11-20,5.76
2001-11-21,5.93
2001-11-23,6.11
2001-11-26,6.14
2001-11-27,6.07
2001-11-28,5.88
2001-11-29,6.23
2001-11-30,6.24
2001-12-03,6.01
2001-12-04,6.25
2001-12-05,6.44
2001-12-06,6.9
2001-12-07,6.94
2001-12-10,6.74
2001-12-11,6.74
2001-12-12,6.79
2001-12-13,6.62
2001-12-14,6.52
2001-12-17,6.59
2001-12-18,6.39
2001-12-19,6.22
2001-12-20,5.9
2001-12-21,6
2001-12-24,5.92
2001-12-26,6
2001-12-27,6.14
2001-12-28,6.67
2001-12-31,6.6
2002-01-02,6.44
2002-01-03,6.8
2002-01-04,6.88
2002-01-07,6.81
2002-01-08,7
2002-01-09,7.24
2002-01-10,7.32
2002-01-11,7.1
2002-01-14,6.66
2002-01-15,6.94
2002-01-16,6.6
2002-01-17,6.65
2002-01-18,6.85
2002-01-22,6.47
2002-01-23,6.24
2002-01-24,6.48
2002-01-25,6.39
2002-01-28,6.49
2002-01-29,6.82
2002-01-30,6.8
2002-01-31,6.48
2002-02-01,6.35
2002-02-04,6.11
2002-02-05,6.23
2002-02-06,6.1
2002-02-07,6.08
2002-02-08,6.23
2002-02-11,6.5
2002-02-12,6.51
2002-02-13,6.5
2002-02-14,6.43
2002-02-15,6.57
2002-02-19,6.51
2002-02-20,6.79
2002-02-21,6.35
2002-02-22,6.31
2002-02-25,6.6
2002-02-26,6.52
2002-02-27,6.49
2002-02-28,6.61
2002-03-01,6.51
2002-03-04,6.53
2002-03-05,6.53
2002-03-06,6.55
2002-03-07,6.8
2002-03-08,6.76
2002-03-11,6.72
2002-03-12,6.74
2002-03-13,6.55
2002-03-14,6.58
2002-03-15,6.48
2002-03-18,6.53
2002-03-19,6.45
2002-03-20,5.65
2002-03-21,5.75
2002-03-22,5.7
2002-03-25,5.34
2002-03-26,5.73
2002-03-27,5.62
2002-03-28,6.05
2002-04-01,6.1
2002-04-02,5.91
2002-04-03,5.65
2002-04-04,5.77
2002-04-05,5.9
2002-04-08,5.82
2002-04-09,5.86
2002-04-10,5.96
2002-04-11,5.91
2002-04-12,6.22
2002-04-15,6.02
2002-04-16,6.25
2002-04-17,6.25
2002-04-18,6.2
2002-04-19,6.2
2002-04-22,6.25
2002-04-23,5.94
2002-04-24,6.01
2002-04-25,5.78
2002-04-26,5.86
2002-04-29,5.62
2002-04-30,5.59
2002-05-01,5.6
2002-05-02,6.08
2002-05-03,5.93
2002-05-06,5.9
2002-05-07,5.8
2002-05-08,6.03
2002-05-09,5.77
2002-05-10,5.56
2002-05-13,5.68
2002-05-14,5.74
2002-05-15,5.97
2002-05-16,6
2002-05-17,6.03
2002-05-20,5.85
2002-05-21,6.15
2002-05-22,6.05
2002-05-23,6.06
2002-05-24,5.95
2002-05-28,6.02
2002-05-29,6.08
2002-05-30,6.05
2002-05-31,6.04
2002-06-03,5.78
2002-06-04,5.65
2002-06-05,5.74
2002-06-06,5.7
2002-06-07,5.76
2002-06-10,5.82
2002-06-11,5.74
2002-06-12,5.77
2002-06-13,5.69
2002-06-14,5.77
2002-06-17,5.78
2002-06-18,5.77
2002-06-19,5.6
2002-06-20,5.66
2002-06-21,5.7
2002-06-24,5.66
2002-06-25,5.54
2002-06-26,5.07
2002-06-27,5.2
2002-06-28,5.35
2002-07-01,5.54
2002-07-02,5.21
2002-07-03,5.02
2002-07-05,5.45
2002-07-08,5.09
2002-07-09,4.5
2002-07-10,4.19
2002-07-11,4.14
2002-07-12,4
2002-07-15,3.85
2002-07-16,3.77
2002-07-17,4
2002-07-18,3.75
2002-07-19,3.52
2002-07-22,3.65
2002-07-23,3.65
2002-07-24,3.8
2002-07-25,3.9
2002-07-26,3.89
2002-07-29,4
2002-07-30,4.05
2002-07-31,3.85
2002-08-01,3.75
2002-08-02,3.55
2002-08-05,3.36
2002-08-06,3.51
2002-08-07,3.7
2002-08-08,3.98
2002-08-09,3.88
2002-08-12,3.59
2002-08-13,3.55
2002-08-14,3.56
2002-08-15,3.42
2002-08-16,3.81
2002-08-19,3.9
2002-08-20,3.79
2002-08-21,3.85
2002-08-22,4
2002-08-23,3.68
2002-08-26,3.48
2002-08-27,3.5
2002-08-28,3.44
2002-08-29,3.51
2002-08-30,3.47
2002-09-03,3.37
2002-09-04,3.4
2002-09-05,3.2
2002-09-06,3.39
2002-09-09,3.37
2002-09-10,3.39
2002-09-11,3.37
2002-09-12,3.32
