,ALK US Equity
2001-01-02,7.3906
2001-01-03,7.9844
2001-01-04,8.5
2001-01-05,8.4531
2001-01-08,8.4688
2001-01-09,7.7344
2001-01-10,7.7188
2001-01-11,7.5469
2001-01-12,7.4688
2001-01-16,7.5
2001-01-17,7.375
2001-01-18,7.4531
2001-01-19,7.5
2001-01-22,7.5781
2001-01-23,8.0469
2001-01-24,7.625
2001-01-25,7.8906
2001-01-26,7.5938
2001-01-29,7.8
2001-01-30,7.95
2001-01-31,8.085
2001-02-01,7.995
2001-02-02,8.075
2001-02-05,8.22
2001-02-06,8.3275
2001-02-07,8.29
2001-02-08,8.12
2001-02-09,7.965
2001-02-12,7.975
2001-02-13,7.9625
2001-02-14,7.9325
2001-02-15,7.8
2001-02-16,7.615
2001-02-20,7.25
2001-02-21,7.28
2001-02-22,7.2125
2001-02-23,7.125
2001-02-26,7.3975
2001-02-27,7.255
2001-02-28,7.145
2001-03-01,6.825
2001-03-02,7.06
2001-03-05,6.965
2001-03-06,7.025
2001-03-07,7.06
2001-03-08,7.2125
2001-03-09,7.1125
2001-03-12,7
2001-03-13,7.095
2001-03-14,6.9375
2001-03-15,6.9
2001-03-16,6.6725
2001-03-19,6.4375
2001-03-20,6.49
2001-03-21,6.37
2001-03-22,6.2625
2001-03-23,6.3875
2001-03-26,6.575
2001-03-27,6.5375
2001-03-28,6.455
2001-03-29,6.3625
2001-03-30,6.425
2001-04-02,6.3125
2001-04-03,6.2775
2001-04-04,6.3725
2001-04-05,6.4875
2001-04-06,6.275
2001-04-09,6.255
2001-04-10,6.5525
2001-04-11,6.525
2001-04-12,6.5125
2001-04-16,6.53
2001-04-17,6.6375
2001-04-18,6.775
2001-04-19,6.9975
2001-04-20,6.8425
2001-04-23,6.75
2001-04-24,6.705
2001-04-25,6.7475
2001-04-26,6.875
2001-04-27,7.0725
2001-04-30,7.0375
2001-05-01,6.985
2001-05-02,7.0475
2001-05-03,7.1
2001-05-04,7.155
2001-05-07,7.25
2001-05-08,7.175
2001-05-09,7.1625
2001-05-10,7.1925
2001-05-11,7.1175
2001-05-14,7.1425
2001-05-15,6.8725
2001-05-16,6.985
2001-05-17,7.175
2001-05-18,7.15
2001-05-21,7.1975
2001-05-22,7.3675
2001-05-23,7.22
2001-05-24,7.15
2001-05-25,7.1925
2001-05-29,7.225
2001-05-30,7.1075
2001-05-31,7.1825
2001-06-01,7.005
2001-06-04,7.0225
2001-06-05,7.065
2001-06-06,7.005
2001-06-07,6.9875
2001-06-08,6.995
2001-06-11,6.9725
2001-06-12,6.825
2001-06-13,6.9275
2001-06-14,6.8725
2001-06-15,6.705
2001-06-18,6.79
2001-06-19,6.665
2001-06-20,6.54
2001-06-21,6.575
2001-06-22,6.61
2001-06-25,6.4575
2001-06-26,6.565
2001-06-27,6.865
2001-06-28,6.955
2001-06-29,7.225
2001-07-02,7.2
2001-07-03,7.17
2001-07-05,7.1625
2001-07-06,7.05
2001-07-09,7.15
2001-07-10,7.325
2001-07-11,7.35
2001-07-12,7.495
2001-07-13,7.6825
2001-07-16,7.8275
2001-07-17,7.83
2001-07-18,7.6525
2001-07-19,7.7
2001-07-20,7.8875
2001-07-23,7.7875
2001-07-24,7.695
2001-07-25,7.7
2001-07-26,7.7175
2001-07-27,7.66
2001-07-30,7.645
2001-07-31,7.91
2001-08-01,8.0375
2001-08-02,8.015
2001-08-03,7.955
2001-08-06,8
2001-08-07,7.96
2001-08-08,8.025
2001-08-09,8.0275
2001-08-10,8.12
2001-08-13,8.1
2001-08-14,8.1925
2001-08-15,8.25
2001-08-16,8.3875
2001-08-17,8.25
2001-08-20,8.055
2001-08-21,7.995
2001-08-22,8.105
2001-08-23,8.1
2001-08-24,8.2525
2001-08-27,8.125
2001-08-28,8.0925
2001-08-29,8.0175
2001-08-30,8.0475
2001-08-31,8.16
2001-09-04,8.135
2001-09-05,8.0825
2001-09-06,7.895
2001-09-07,7.65
2001-09-10,7.5875
2001-09-17,5.42
2001-09-18,5.3
2001-09-19,5.165
2001-09-20,4.775
2001-09-21,4.52
2001-09-24,4.7125
2001-09-25,4.535
2001-09-26,4.45
2001-09-27,4.425
2001-09-28,4.9925
2001-10-01,4.95
2001-10-02,5.29
2001-10-03,5.75
2001-10-04,5.6175
2001-10-05,5.4375
2001-10-08,5.2925
2001-10-09,5.225
2001-10-10,5.4775
2001-10-11,5.735
2001-10-12,5.25
2001-10-15,5.3625
2001-10-16,5.4025
2001-10-17,5.02
2001-10-18,4.9275
2001-10-19,5.1175
2001-10-22,5.4675
2001-10-23,5.875
2001-10-24,5.775
2001-10-25,5.7875
2001-10-26,5.975
2001-10-29,6
2001-10-30,6.04
2001-10-31,6.1
2001-11-01,6.1725
2001-11-02,6.1875
2001-11-05,6.2875
2001-11-06,6.3375
2001-11-07,6.6125
2001-11-08,6.6775
2001-11-09,6.3825
2001-11-12,6.3
2001-11-13,6.7
2001-11-14,6.9
2001-11-15,6.7275
2001-11-16,6.6175
2001-11-19,7.075
2001-11-20,6.975
2001-11-21,7.0625
2001-11-23,7.4025
2001-11-26,7.2725
