,ANS US Equity
2001-01-02,3.8125
2001-01-03,3.8125
2001-01-04,3.8125
2001-01-05,3.75
2001-01-08,3.75
2001-01-09,3.8125
2001-01-10,3.75
2001-01-11,3.8125
2001-01-12,3.8125
2001-01-16,3.8125
2001-01-17,4.1875
2001-01-18,4.1875
2001-01-19,4.0625
2001-01-22,4.25
2001-01-23,4.3125
2001-01-24,4.4375
2001-01-25,4.375
2001-01-26,4.3125
2001-01-29,4.18
2001-01-30,4.3
2001-01-31,4.2
2001-02-01,4.4
2001-02-02,4.25
2001-02-05,4.09
2001-02-06,4.28
2001-02-07,4.15
2001-02-08,4.19
2001-02-09,4.26
2001-02-12,4.35
2001-02-13,4.3
2001-02-14,4.24
2001-02-15,4
2001-02-16,3.95
2001-02-20,4
2001-02-21,4
2001-02-22,4.18
2001-02-23,4.15
2001-02-26,4
2001-02-27,4.1
2001-02-28,4.03
2001-03-01,4.05
2001-03-02,4.15
2001-03-05,4.15
2001-03-06,4.35
2001-03-07,4.45
2001-03-08,4.35
2001-03-09,4.35
2001-03-12,4.35
2001-03-13,4.3
2001-03-14,4.3
2001-03-15,4.3
2001-03-16,4.15
2001-03-19,4.2
2001-03-20,4.15
2001-03-21,4.15
2001-03-22,4.2
2001-03-23,4.2
2001-03-26,4.2
2001-03-27,4.35
2001-03-28,4.3
2001-03-29,4.35
2001-03-30,4.4
2001-04-02,4.45
2001-04-03,4.5
2001-04-04,4.45
2001-04-05,4.5
2001-04-06,4.55
2001-04-09,4.58
2001-04-10,4.55
2001-04-11,5.05
2001-04-12,4.92
2001-04-16,5
2001-04-17,4.95
2001-04-18,4.9
2001-04-19,4.9
2001-04-20,4.9
2001-04-23,4.7
2001-04-24,4.35
2001-04-25,4.5
2001-04-26,4.35
2001-04-27,4.76
2001-04-30,4.8
2001-05-01,4.51
2001-05-02,4.6
2001-05-03,4.6
2001-05-04,4.69
2001-05-07,4.75
2001-05-08,4.8
2001-05-09,4.85
2001-05-10,4.85
2001-05-11,4.94
2001-05-14,4.85
2001-05-15,4.81
2001-05-16,4.95
2001-05-17,4.9
2001-05-18,4.85
2001-05-21,5
2001-05-22,5.2
2001-05-23,5.3
2001-05-24,5.15
2001-05-25,5.2
2001-05-29,5.18
2001-05-30,5.15
2001-05-31,5.12
2001-06-01,5.16
2001-06-04,5.16
2001-06-05,5.4
2001-06-06,5.27
2001-06-07,5.3
2001-06-08,5.35
2001-06-11,5.31
2001-06-12,5.4
2001-06-13,5.75
2001-06-14,5.8
