,FRNTQ US Equity
2001-01-02,19.2083
2001-01-03,20.3333
2001-01-04,20.5625
2001-01-05,21.1667
2001-01-08,20.9583
2001-01-09,21.2917
2001-01-10,22.4583
2001-01-11,22.0833
2001-01-12,21.7917
2001-01-16,22.5833
2001-01-17,22.8333
2001-01-18,22.9583
2001-01-19,21.5
2001-01-22,21.1667
2001-01-23,22.4167
2001-01-24,22.375
2001-01-25,21.875
2001-01-26,21.75
2001-01-29,21.5833
2001-01-30,21.9167
2001-01-31,22.0417
2001-02-01,22.4583
2001-02-02,23
2001-02-05,23.6667
2001-02-06,23.9167
2001-02-07,24.1667
2001-02-08,23.3333
2001-02-09,23.25
2001-02-12,23.4583
2001-02-13,23.9583
2001-02-14,23.6667
2001-02-15,23.75
2001-02-16,25.0833
2001-02-20,24.9583
2001-02-21,25.5
2001-02-22,24.4583
2001-02-23,24.1667
2001-02-26,23.6667
2001-02-27,16.2083
2001-02-28,15.625
2001-03-01,13.9167
2001-03-02,14.2917
2001-03-05,14.5833
2001-03-06,15.1875
2001-03-07,14.0625
2001-03-08,13.0625
2001-03-09,12.125
2001-03-12,12.0625
2001-03-13,11.375
2001-03-14,11.625
2001-03-15,11.4375
2001-03-16,10.625
2001-03-19,10.3125
2001-03-20,10.1563
2001-03-21,10.25
2001-03-22,9.9375
2001-03-23,10.9375
2001-03-26,12.3125
2001-03-27,11.75
2001-03-28,11.5
2001-03-29,11.75
2001-03-30,12.1875
2001-04-02,10.3125
2001-04-03,10.4375
2001-04-04,10.9375
2001-04-05,11.9375
2001-04-06,11.875
2001-04-09,12.52
2001-04-10,14
2001-04-11,13.5
2001-04-12,12.89
2001-04-16,12.79
2001-04-17,13.06
2001-04-18,13.5
2001-04-19,14
2001-04-20,13.98
2001-04-23,13.87
2001-04-24,13.95
2001-04-25,14.15
2001-04-26,14.07
2001-04-27,14.96
2001-04-30,15.03
2001-05-01,14.35
2001-05-02,14.7
2001-05-03,14.38
2001-05-04,14.48
2001-05-07,14.65
2001-05-08,14.76
2001-05-09,14.8
2001-05-10,15.06
2001-05-11,14.85
2001-05-14,15
2001-05-15,14.95
2001-05-16,15.66
2001-05-17,16.17
2001-05-18,16.35
2001-05-21,16.43
2001-05-22,16.71
2001-05-23,16.29
2001-05-24,15.75
2001-05-25,15.73
2001-05-29,16.38
2001-05-30,16.48
2001-05-31,15.51
2001-06-01,14.04
2001-06-04,14.14
2001-06-05,14.1
2001-06-06,13.97
2001-06-07,13.97
2001-06-08,13.99
2001-06-11,13.95
2001-06-12,13.34
2001-06-13,13.3
2001-06-14,13
2001-06-15,12.01
2001-06-18,11.68
2001-06-19,11.64
2001-06-20,11.29
2001-06-21,11.4
2001-06-22,11.3
2001-06-25,11.05
2001-06-26,11.33
2001-06-27,12.41
2001-06-28,12.61
2001-06-29,12.25
2001-07-02,12.85
2001-07-03,13.2
2001-07-05,13.17
2001-07-06,13.07
2001-07-09,13.02
2001-07-10,12.74
2001-07-11,12.7
2001-07-12,13.03
2001-07-13,13.65
2001-07-16,14.8
2001-07-17,15.15
2001-07-18,14.22
2001-07-19,15.1
2001-07-20,15.08
2001-07-23,15.26
2001-07-24,15.14
2001-07-25,15.15
2001-07-26,15.08
2001-07-27,15.4
2001-07-30,15.4
2001-07-31,15.1
2001-08-01,15.78
2001-08-02,15.28
2001-08-03,15.26
2001-08-06,15.14
2001-08-07,15.2
2001-08-08,15.3
2001-08-09,15.28
2001-08-10,14.33
2001-08-13,13.61
2001-08-14,13.71
2001-08-15,13.88
2001-08-16,13.88
2001-08-17,13.99
2001-08-20,13.55
2001-08-21,13.79
2001-08-22,13.7
2001-08-23,13.3
2001-08-24,12.77
2001-08-27,12.71
2001-08-28,12.68
2001-08-29,12.5
2001-08-30,12.31
2001-08-31,12.48
2001-09-04,12.39
2001-09-05,12.04
2001-09-06,12
2001-09-07,12.07
2001-09-10,12.15
2001-09-17,8.25
2001-09-18,8.76
2001-09-19,8.59
2001-09-20,7.95
2001-09-21,6.77
2001-09-24,7.1399
2001-09-25,6.99
2001-09-26,6.99
2001-09-27,7
2001-09-28,8.28
2001-10-01,8
2001-10-02,8
2001-10-03,8.51
2001-10-04,8.9
2001-10-05,9.29
2001-10-08,9.11
2001-10-09,9.1
2001-10-10,10.3
2001-10-11,10.8
2001-10-12,10.34
2001-10-15,10.27
2001-10-16,10.75
2001-10-17,10.4099
2001-10-18,9.94
2001-10-19,9.75
2001-10-22,10.5
2001-10-23,10.52
2001-10-24,10.86
2001-10-25,11.05
2001-10-26,11.25
2001-10-29,10.92
2001-10-30,10.75
2001-10-31,10.94
2001-11-01,10.7
2001-11-02,11.53
2001-11-05,11.86
2001-11-06,12.27
2001-11-07,12.35
2001-11-08,12.03
2001-11-09,12.15
2001-11-12,11.58
2001-11-13,11.96
2001-11-14,12.41
2001-11-15,13.26
