,GLUX US Equity
2001-01-02,0.9375
2001-01-03,1.0625
2001-01-04,1
2001-01-08,0.9375
2001-01-09,0.875
2001-01-10,1
2001-01-11,1
2001-01-12,1.125
2001-01-16,1.125
2001-01-17,0.9375
2001-01-18,1
2001-01-19,1
2001-01-22,1.0625
2001-01-23,1
2001-01-24,1
2001-01-25,1.0625
2001-01-29,1.0625
2001-01-30,1.125
2001-01-31,1.1875
2001-02-01,1.0625
2001-02-02,1.125
2001-02-05,1.125
2001-02-06,1.125
2001-02-07,1.125
2001-02-08,1.21875
2001-02-09,1.25
2001-02-12,1.5
2001-02-13,2.25
2001-02-14,2.125
2001-02-15,2.1875
2001-02-16,2.25
2001-02-20,2.5
2001-02-21,2.125
2001-02-22,2
2001-02-23,1.6875
2001-02-26,1.6875
2001-02-27,1.6875
2001-02-28,1.6875
2001-03-01,1.875
2001-03-02,1.875
2001-03-05,1.9375
2001-03-06,2
2001-03-07,1.9375
2001-03-08,1.875
2001-03-09,2
2001-03-12,1.875
2001-03-13,1.875
2001-03-14,1.875
2001-03-15,1.75
2001-03-16,1.75
2001-03-19,1.75
2001-03-20,1.75
2001-03-23,1.75
2001-03-26,1.875
2001-03-27,1.875
2001-03-28,1.875
2001-03-29,1.84375
2001-04-02,1.6875
2001-04-03,1.75
2001-04-04,1.4375
2001-04-05,1.5
2001-04-06,1.5
2001-04-11,1.44
2001-04-12,1.45
2001-04-16,1.5
2001-04-17,1.37
2001-04-18,1.49
2001-04-19,1.42
2001-04-20,1.43
2001-04-25,1.42
2001-04-26,1.43
2001-04-27,1.52
2001-05-01,1.46
2001-05-02,1.6
2001-05-03,1.58
2001-05-04,1.6
2001-05-07,1.7
2001-05-08,1.6
2001-05-09,1.42
2001-05-10,1.5
2001-05-14,1.5
2001-05-15,1.45
2001-05-16,1.6
2001-05-17,1.38
2001-05-18,1.4
2001-05-21,1.57
2001-05-22,1.4
2001-05-23,1.4
2001-05-24,1.39
2001-05-25,1.33
2001-05-29,1.31
2001-05-30,1.31
2001-06-01,1.37
2001-06-05,1.36
2001-06-06,1.42
2001-06-07,1.37
2001-06-08,1.37
2001-06-13,1.37
2001-06-14,1.36
2001-06-15,1.3
2001-06-18,1.3
2001-06-19,1.18
2001-06-20,1.16
2001-06-21,1.01
2001-06-22,1.2
2001-06-25,1.2
2001-06-26,1.2
2001-06-27,1.19
2001-06-28,1.25
2001-07-06,1.19
2001-07-09,1.24
2001-07-10,1.24
2001-07-11,1.2
2001-07-12,1.24
2001-07-13,1.24
2001-07-17,1.2
2001-07-18,1.16
2001-07-20,1.03
2001-07-23,0.98
2001-07-24,1
2001-07-25,0.95
2001-07-26,0.95
2001-07-30,0.85
2001-07-31,0.86
2001-08-01,0.9
2001-08-06,0.96
2001-08-07,1
2001-08-08,0.91
2001-08-09,0.91
2001-08-10,0.85
2001-08-13,0.94
2001-08-14,0.81
2001-08-15,0.9
2001-08-21,0.86
2001-08-23,0.86
2001-08-27,0.8
2001-08-28,0.75
2001-08-29,0.75
2001-08-31,0.48
2001-09-04,0.5
2001-09-05,0.51
2001-09-06,0.6
2001-09-07,0.58
2001-09-10,0.63
2001-09-17,0.62
2001-09-18,0.54
2001-09-19,0.5
2001-09-20,0.4
2001-09-21,0.64
2001-09-24,0.64
2001-09-25,0.67
2001-09-27,0.67
2001-09-28,0.52
2001-10-01,0.7
2001-10-02,0.7
2001-10-05,0.52
2001-10-08,0.52
2001-10-09,0.52
2001-10-11,0.6
2001-10-12,0.63
2001-10-18,0.5
2001-10-19,0.45
2001-10-22,0.3
2001-10-23,0.25
2001-10-24,0.35
2001-10-25,0.44
2001-10-29,0.43
2001-10-30,0.34
2001-10-31,0.4
2001-11-01,0.5
2001-11-02,0.4
2001-11-05,0.74
2001-11-06,0.6
2001-11-08,0.7
2001-11-09,0.7
2001-11-12,0.52
2001-11-13,0.6
2001-11-14,0.55
2001-11-15,0.55
2001-11-16,0.53
