,HA US Equity
2001-01-02,2.125
2001-01-03,2.125
2001-01-04,2.1875
2001-01-05,2.1875
2001-01-08,2.1875
2001-01-09,2.1875
2001-01-10,2.25
2001-01-11,2.375
2001-01-12,2.5
2001-01-16,2.5
2001-01-17,2.4375
2001-01-18,2.3125
2001-01-19,2.25
2001-01-22,2.3125
2001-01-23,2.3125
2001-01-24,2.3125
2001-01-25,2.3125
2001-01-26,2.1875
2001-01-29,2.18
2001-01-30,2.23
2001-01-31,2.3
2001-02-01,2.4
2001-02-02,2.45
2001-02-05,2.36
2001-02-06,2.46
2001-02-07,2.46
2001-02-08,2.5
2001-02-09,2.4
2001-02-12,2.45
2001-02-13,2.4
2001-02-14,2.35
2001-02-15,2.36
2001-02-16,2.42
2001-02-20,2.45
2001-02-21,2.44
2001-02-22,2.46
2001-02-23,2.4
2001-02-26,2.4
2001-02-27,2.45
2001-02-28,2.5
2001-03-01,2.46
2001-03-02,2.46
2001-03-05,2.48
2001-03-06,2.45
2001-03-07,2.4
2001-03-08,2.34
2001-03-09,2.3
2001-03-12,2.41
2001-03-13,2.43
2001-03-14,2.39
2001-03-15,2.45
2001-03-16,2.41
2001-03-19,2.39
2001-03-20,2.45
2001-03-21,2.45
2001-03-22,2.3
2001-03-23,2.4
2001-03-26,2.45
2001-03-27,2.5
2001-03-28,2.5
2001-03-29,2.59
2001-03-30,3.25
2001-04-02,2.8
2001-04-03,2.66
2001-04-04,2.6
2001-04-05,2.6
2001-04-06,2.59
2001-04-09,2.5
2001-04-10,2.6
2001-04-11,2.4
2001-04-12,2.4
2001-04-16,2.4
2001-04-17,2.49
2001-04-18,2.49
2001-04-19,2.69
2001-04-20,2.4
2001-04-23,2.55
2001-04-24,2.6
2001-04-25,2.65
2001-04-26,2.69
2001-04-27,2.76
2001-04-30,2.9
2001-05-01,2.95
2001-05-02,3.05
2001-05-03,3.05
2001-05-04,3.11
2001-05-07,3.2
2001-05-08,3.14
2001-05-09,3.14
2001-05-10,3.1
2001-05-11,3.09
2001-05-14,3.01
2001-05-15,3
2001-05-16,3.09
2001-05-17,3.09
2001-05-18,3.05
2001-05-21,3.07
2001-05-22,3
2001-05-23,3.02
2001-05-24,3.04
2001-05-25,3.04
2001-05-29,3.15
2001-05-30,3
2001-05-31,3.08
2001-06-01,3.13
2001-06-04,3.1
2001-06-05,3.12
2001-06-06,3.12
2001-06-07,3.14
2001-06-08,3.1
2001-06-11,3.24
2001-06-12,3.2
2001-06-13,3.16
2001-06-14,3.25
2001-06-15,3.2
2001-06-18,3.2
2001-06-19,3.16
2001-06-20,3.21
2001-06-21,3.2
2001-06-22,3.24
2001-06-25,3.25
2001-06-26,3.29
2001-06-27,3.2
2001-06-28,3.2
2001-06-29,3.25
2001-07-02,3.2
2001-07-03,3.2
2001-07-05,3.25
2001-07-06,3.24
2001-07-09,3.27
2001-07-10,3.25
2001-07-11,3.3
2001-07-12,3.4
2001-07-13,3.4
2001-07-16,3.44
2001-07-17,3.45
2001-07-18,3.4
2001-07-19,3.4
2001-07-20,3.45
2001-07-23,3.48
2001-07-24,3.47
2001-07-25,3.4
2001-07-26,3.43
2001-07-27,3.35
2001-07-30,3.4
2001-07-31,3.26
2001-08-01,3.42
2001-08-02,3.31
2001-08-03,3.3
2001-08-06,3.3
2001-08-07,3.43
2001-08-08,3.4
2001-08-09,3.25
2001-08-10,3.25
2001-08-13,3.15
2001-08-14,3.01
2001-08-15,2.92
2001-08-16,2.9
2001-08-17,3
2001-08-20,3.02
2001-08-21,2.85
2001-08-22,3
2001-08-23,2.91
2001-08-24,3.04
2001-08-27,3.01
2001-08-28,3
2001-08-29,2.95
2001-08-30,2.95
2001-08-31,3
2001-09-04,2.9
2001-09-05,2.88
2001-09-06,2.89
2001-09-07,2.85
2001-09-10,2.84
2001-09-17,2.25
2001-09-18,2.33
2001-09-19,2.3
2001-09-20,2.37
2001-09-21,2.18
2001-09-24,2.15
2001-09-25,2.1
2001-09-26,2.05
2001-09-27,2.1
2001-09-28,2.2
2001-10-01,2.1
2001-10-02,2.07
2001-10-03,2.15
2001-10-04,2.29
2001-10-05,2.4
2001-10-08,2.4
2001-10-09,2.44
2001-10-10,2.44
2001-10-11,2.4
2001-10-12,2.43
2001-10-15,2.33
2001-10-16,2.3
2001-10-17,2.25
2001-10-18,2.25
2001-10-19,2.27
2001-10-22,2.22
2001-10-23,2.35
2001-10-24,2.5
2001-10-25,2.31
2001-10-26,2.31
2001-10-29,2.36
2001-10-30,2.4
2001-10-31,2.4
2001-11-01,2.18
2001-11-02,2.3
2001-11-05,2.32
2001-11-06,2.3
2001-11-07,2.29
2001-11-08,2.2
2001-11-09,2.25
2001-11-12,2.24
2001-11-13,2.25
2001-11-14,2.25
2001-11-15,2.49
2001-11-16,2.25
2001-11-19,2.35
2001-11-20,2.45
2001-11-21,2.35
2001-11-23,2.49
2001-11-26,2.49
2001-11-27,2.39
2001-11-28,2.37
2001-11-29,2.5
2001-11-30,2.42
2001-12-03,2.36
2001-12-04,2.5
2001-12-05,2.45
2001-12-06,2.43
2001-12-07,2.43
2001-12-10,2.59
2001-12-11,2.42
2001-12-12,2.49
2001-12-13,2.45
2001-12-14,2.49
2001-12-17,2.4
2001-12-18,2.5
2001-12-20,3.11
2001-12-21,3.74
2001-12-24,3.75
2001-12-26,3.98
2001-12-27,4
2001-12-28,3.87
2001-12-31,4
2002-01-02,3.95
2002-01-03,3.97
2002-01-04,3.95
2002-01-07,3.98
2002-01-08,3.96
2002-01-09,4
2002-01-10,3.98
2002-01-11,3.98
2002-01-14,3.93
2002-01-15,3.95
2002-01-16,4.05
2002-01-17,4.15
2002-01-18,4.29
2002-01-22,4.35
2002-01-23,4.24
2002-01-24,4.4
2002-01-25,4.4
2002-01-28,4.11
2002-01-29,4
2002-01-30,4.02
2002-01-31,4
2002-02-01,3.91
2002-02-04,3.99
2002-02-05,3.99
2002-02-06,4
2002-02-07,4
2002-02-08,4.24
2002-02-11,4.06
2002-02-12,4.04
2002-02-13,4.01
2002-02-14,4.04
2002-02-15,4.01
2002-02-19,4.1
2002-02-20,4.04
2002-02-21,4.1
2002-02-22,4.08
2002-02-25,4.1
2002-02-26,4.06
2002-02-27,4.19
2002-02-28,4.45
2002-03-01,4.24
2002-03-04,4.32
2002-03-05,4.45
2002-03-06,4.43
2002-03-07,4.36
2002-03-08,4.35
2002-03-11,4.25
2002-03-12,4.16
2002-03-13,4.15
2002-03-14,4.14
2002-03-15,4.15
2002-03-18,2.99
2002-03-19,3.12
2002-03-20,3.2
2002-03-21,3.19
2002-03-22,3.3
2002-03-25,3.25
2002-03-26,3.08
