,MESA US Equity
2018-08-09,12
2018-08-10,11.75
2018-08-13,11.5
2018-08-14,11.65
2018-08-15,11.64
2018-08-16,11.7
2018-08-17,11.74
2018-08-20,12.17
2018-08-21,12.33
2018-08-22,12.44
2018-08-23,12.5
2018-08-24,12.56
2018-08-27,12.56
2018-08-28,12.97
2018-08-29,12.84
2018-08-30,13.69
2018-08-31,13.79
2018-09-04,15.82
2018-09-05,15.85
2018-09-06,15.65
2018-09-07,15.85
2018-09-10,15.65
2018-09-11,15.29
2018-09-12,14.65
2018-09-13,15.31
2018-09-14,15.6
2018-09-17,14.84
2018-09-18,14.89
2018-09-19,14.45
2018-09-20,13.56
2018-09-21,13.81
2018-09-24,13.4
2018-09-25,12.57
2018-09-26,13.61
2018-09-27,13.36
2018-09-28,13.86
2018-10-01,13.21
2018-10-02,13.66
2018-10-03,13.9
2018-10-04,13.33
2018-10-05,12.99
2018-10-08,13.21
2018-10-09,13.07
2018-10-10,13.25
2018-10-11,12.62
2018-10-12,13.39
2018-10-15,13.65
2018-10-16,14.08
2018-10-17,14.19
2018-10-18,13.6
2018-10-19,13.86
2018-10-22,14.06
2018-10-23,13.65
2018-10-24,13.63
2018-10-25,13.79
2018-10-26,13.47
2018-10-29,12.99
2018-10-30,13.59
2018-10-31,14.45
2018-11-01,14.12
2018-11-02,13.63
2018-11-05,13.9
2018-11-06,13.73
2018-11-07,14.11
2018-11-08,15.12
2018-11-09,14.46
2018-11-12,14.33
2018-11-13,14.55
2018-11-14,14.78
2018-11-15,15.14
2018-11-16,14.56
2018-11-19,13.01
2018-11-20,13.17
2018-11-21,13.65
2018-11-23,13.94
2018-11-26,13.41
2018-11-27,12.83
2018-11-28,12.46
2018-11-29,11.83
2018-11-30,12.08
2018-12-03,12
2018-12-04,10.63
2018-12-06,11.69
2018-12-07,11.89
2018-12-10,11.7
2018-12-11,11.51
2018-12-12,11.88
2018-12-13,10.23
2018-12-14,10.1
2018-12-17,9.95
2018-12-18,9.14
2018-12-19,7.9
2018-12-20,7.32
2018-12-21,6.86
2018-12-24,6.8
2018-12-26,6.75
2018-12-27,6.56
2018-12-28,7.03
2018-12-31,7.71
2019-01-02,7.7
2019-01-03,7.22
2019-01-04,7.33
2019-01-07,7.77
2019-01-08,7.89
2019-01-09,7.93
2019-01-10,7.66
2019-01-11,7.75
2019-01-14,8.05
2019-01-15,8.19
2019-01-16,8.27
2019-01-17,8.55
2019-01-18,8.65
2019-01-22,8.72
2019-01-23,8.42
2019-01-24,8.48
2019-01-25,8.745
2019-01-28,9.04
2019-01-29,8.82
2019-01-30,9.25
2019-01-31,8.75
2019-02-01,8.73
2019-02-04,9.01
