,SKYW US Equity
2001-01-02,27.5
2001-01-03,28.8125
2001-01-04,27.4375
2001-01-05,27.75
2001-01-08,26.875
2001-01-09,26
2001-01-10,25.0625
2001-01-11,24.6875
2001-01-12,24.5625
2001-01-16,22
2001-01-17,23.75
2001-01-18,24.4375
2001-01-19,22.875
2001-01-22,22.625
2001-01-23,23.3125
2001-01-24,24.8125
2001-01-25,24.4375
2001-01-26,25.625
2001-01-29,25.0625
2001-01-30,24.625
2001-01-31,24.8125
2001-02-01,25.375
2001-02-02,24.9375
2001-02-05,27.125
2001-02-06,25.75
2001-02-07,27.125
2001-02-08,25.6563
2001-02-09,27.3125
2001-02-12,26.625
2001-02-13,26.5625
2001-02-14,26.5625
2001-02-15,26.75
2001-02-16,25.9375
2001-02-20,26.125
2001-02-21,25.8125
2001-02-22,24.625
2001-02-23,24.125
2001-02-26,24.8125
2001-02-27,23.3125
2001-02-28,22.6875
2001-03-01,21.375
2001-03-02,21.25
2001-03-05,21.0625
2001-03-06,21
2001-03-07,20.875
2001-03-08,20.75
2001-03-09,20
2001-03-12,19
2001-03-13,17.75
2001-03-14,18.5625
2001-03-15,18.3125
2001-03-16,18.5
2001-03-19,19.25
2001-03-20,19.375
2001-03-21,19.375
2001-03-22,19.8125
2001-03-23,20
2001-03-26,20.9375
2001-03-27,21.5
2001-03-28,21
2001-03-29,19.4375
2001-03-30,23.25
2001-04-02,21.6875
2001-04-03,20.5625
2001-04-04,21.0625
2001-04-05,23.25
2001-04-06,22.375
2001-04-09,23.1
2001-04-10,23.26
2001-04-11,23.47
2001-04-12,24.12
2001-04-16,22.92
2001-04-17,23.36
2001-04-18,23.56
2001-04-19,24.85
2001-04-20,23.98
2001-04-23,24.6
2001-04-24,25.37
2001-04-25,25.08
2001-04-26,25.6
2001-04-27,26.6
2001-04-30,26.5
2001-05-01,26.55
2001-05-02,26.11
2001-05-03,25.65
2001-05-04,26.18
2001-05-07,25.78
2001-05-08,25.95
2001-05-09,25.99
2001-05-10,26
2001-05-11,26
2001-05-14,25.58
2001-05-15,25.49
2001-05-16,26.08
2001-05-17,27.33
2001-05-18,27.84
2001-05-21,28.82
2001-05-22,29.24
2001-05-23,29.36
2001-05-24,29.75
2001-05-25,30.49
2001-05-29,29.76
2001-05-30,28.71
2001-05-31,28.4
2001-06-01,27.78
2001-06-04,28.49
2001-06-05,28.81
2001-06-06,29.07
2001-06-07,29.5
2001-06-08,28.44
2001-06-11,27.46
2001-06-12,27.33
2001-06-13,27.66
2001-06-14,27.25
2001-06-15,27.85
2001-06-18,26.64
2001-06-19,26.5
2001-06-20,26.14
2001-06-21,26.21
2001-06-22,26.04
2001-06-25,25.98
2001-06-26,25.65
2001-06-27,26.56
2001-06-28,28.19
2001-06-29,28
2001-07-02,28.21
2001-07-03,27.52
2001-07-05,28
2001-07-06,26.45
2001-07-09,27
2001-07-10,27.93
2001-07-11,29.05
2001-07-12,29.41
2001-07-13,30.12
2001-07-16,30.52
2001-07-17,30.89
2001-07-18,31.99
2001-07-19,32.92
2001-07-20,31.78
2001-07-23,31.91
2001-07-24,30.76
2001-07-25,31.19
2001-07-26,30.99
2001-07-27,32.4
2001-07-30,32.7
2001-07-31,33.54
2001-08-01,33.94
2001-08-02,32.99
2001-08-03,32.43
2001-08-06,32.2
2001-08-07,31.89
2001-08-08,30.74
2001-08-09,30.43
2001-08-10,30.29
2001-08-13,29.87
2001-08-14,29.9
2001-08-15,30.25
2001-08-16,30.4
2001-08-17,30.66
2001-08-20,31.03
2001-08-21,31
2001-08-22,31.65
2001-08-23,31.53
2001-08-24,31.6
2001-08-27,31.45
2001-08-28,31.86
2001-08-29,31.98
2001-08-30,31.85
2001-08-31,31.84
2001-09-04,32.59
2001-09-05,32.73
2001-09-06,32.88
2001-09-07,31.75
2001-09-10,31.65
2001-09-17,19.15
2001-09-18,18.17
2001-09-19,16.45
2001-09-20,12.33
2001-09-21,11.25
2001-09-24,14.65
2001-09-25,15.4
2001-09-26,15.44
2001-09-27,15.45
2001-09-28,16.72
2001-10-01,17.17
2001-10-02,18.56
2001-10-03,19
2001-10-04,19.26
2001-10-05,19
2001-10-08,18.75
2001-10-09,19.03
2001-10-10,21.19
2001-10-11,22.18
2001-10-12,19.55
2001-10-15,19.55
2001-10-16,20.01
2001-10-17,18.7
2001-10-18,17.4
2001-10-19,17.81
2001-10-22,18.3
2001-10-23,18.79
2001-10-24,18.91
2001-10-25,19.59
2001-10-26,20.25
2001-10-29,18.7
2001-10-30,18.1
2001-10-31,18.3
2001-11-01,19.1
2001-11-02,19.34
2001-11-05,19.85
2001-11-06,19.6
2001-11-07,20
2001-11-08,19.71
2001-11-09,19.49
2001-11-12,19.23
2001-11-13,19.99
2001-11-14,20.67
2001-11-15,21.07
2001-11-16,22.21
2001-11-19,22.35
2001-11-20,21.08
2001-11-21,20.79
2001-11-23,21
2001-11-26,21.3
2001-11-27,21.65
2001-11-28,21.45
2001-11-29,22.25
2001-11-30,23.31
2001-12-03,22.26
2001-12-04,23.87
2001-12-05,24.23
2001-12-06,24.71
2001-12-07,26.45
2001-12-10,25.51
2001-12-11,25.7
2001-12-12,26.5
2001-12-13,25.88
2001-12-14,25.36
2001-12-17,25.27
2001-12-18,25.42
2001-12-19,25.09
2001-12-20,24.2
2001-12-21,25.04
2001-12-24,23.66
2001-12-26,24.52
2001-12-27,25
2001-12-28,24.7
2001-12-31,25.45
2002-01-02,24.45
2002-01-03,25.44
2002-01-04,27.05
2002-01-07,27.23
