,XJT US Equity
2002-04-17,160
2002-04-18,160
2002-04-19,161.5
2002-04-22,152
2002-04-23,150
2002-04-24,150
2002-04-25,147
2002-04-26,143.3
2002-04-29,145.7
2002-04-30,143.5
2002-05-01,147
2002-05-02,144.9
2002-05-03,147
2002-05-06,146
2002-05-07,142
2002-05-08,140.3
2002-05-09,137.8
2002-05-10,140
2002-05-13,138.4
2002-05-14,143.2
2002-05-15,140.9
2002-05-16,143.5
2002-05-17,145
2002-05-20,139.4
2002-05-21,138.5
2002-05-22,133.4
2002-05-23,134.9
2002-05-24,131.8
2002-05-28,137.5
2002-05-29,137.4
2002-05-30,136.5
2002-05-31,146
2002-06-03,140.2
2002-06-04,137.5
2002-06-05,136.3
2002-06-06,134.9
2002-06-07,135.5
2002-06-10,135.6
2002-06-11,137.8
2002-06-12,132.1
2002-06-13,129.6
2002-06-14,124.6
2002-06-17,131.9
2002-06-18,130
2002-06-19,128.5
2002-06-20,124.7
2002-06-21,123.8
2002-06-24,117.8
2002-06-25,122.5
2002-06-26,121.1
2002-06-27,125.1
2002-06-28,130.5
2002-07-01,130.8
2002-07-02,133.5
2002-07-03,132.7
2002-07-05,139
2002-07-08,137.7
2002-07-09,135
2002-07-10,133.7
2002-07-11,128
2002-07-12,129.7
2002-07-15,128.5
2002-07-16,128.5
2002-07-17,124.9
2002-07-18,121.2
2002-07-19,119
2002-07-22,115
2002-07-23,108.8
2002-07-24,115.9
2002-07-25,109
2002-07-26,107.4
2002-07-29,111
2002-07-30,117.4
2002-07-31,121.5
2002-08-01,126
2002-08-02,127.6
2002-08-05,124.1
2002-08-06,132.1
2002-08-07,126.3
2002-08-08,124.5
2002-08-09,129.8
2002-08-12,120.3
2002-08-13,114.7
2002-08-14,109
2002-08-15,105.1
2002-08-16,110
2002-08-19,105
2002-08-20,102
2002-08-21,107
2002-08-22,113.8
2002-08-23,114.5
2002-08-26,118
2002-08-27,108
2002-08-28,111.1
2002-08-29,110.5
2002-08-30,114.5
2002-09-03,111.5
2002-09-04,128.1
2002-09-05,117.2
2002-09-06,122.5
2002-09-09,122.3
2002-09-10,119.6
2002-09-11,119.2
2002-09-12,111.2
2002-09-13,114.4
2002-09-16,112.1
2002-09-17,116.9
2002-09-18,116.5
2002-09-19,112
2002-09-20,110.5
2002-09-23,109.9
2002-09-24,104
2002-09-25,99.5
2002-09-26,93
2002-09-27,90
2002-09-30,92
2002-10-01,94.9
2002-10-02,97.5
2002-10-03,100
2002-10-04,97.1
2002-10-07,98.1
2002-10-08,99.9
2002-10-09,91
2002-10-10,76.1
2002-10-11,78
2002-10-14,76.8
2002-10-15,87.5
2002-10-16,91.3
2002-10-17,99.9
2002-10-18,98
2002-10-21,108
2002-10-22,110.5
2002-10-23,120.5
2002-10-24,110
2002-10-25,110
2002-10-28,110.1
2002-10-29,110
2002-10-30,108.9
2002-10-31,114
2002-11-01,115.6
2002-11-04,116
2002-11-05,117
2002-11-06,121.5
2002-11-07,128.6
2002-11-08,126.5
2002-11-11,123
2002-11-12,121
2002-11-13,124.9
2002-11-14,126.2
2002-11-15,124.5
2002-11-18,113.7
2002-11-19,107.4
2002-11-20,111.3
2002-11-21,116.2
2002-11-22,115.5
2002-11-25,117.5
2002-11-26,111.9
2002-11-27,111.5
2002-11-29,107.5
2002-12-02,110
2002-12-03,106
2002-12-04,107.6
2002-12-05,109
2002-12-06,119.1
2002-12-09,110.6
2002-12-10,110.5
2002-12-11,110
2002-12-12,108.8
2002-12-13,106.4
2002-12-16,110
2002-12-17,106.5
2002-12-18,102.8
2002-12-19,95.9
2002-12-20,97
2002-12-23,102.3
2002-12-24,100.4
2002-12-26,104.5
2002-12-27,99
2002-12-30,103
2002-12-31,102.5
2003-01-02,105.5
2003-01-03,110.5
2003-01-06,111.8
2003-01-07,111.6
2003-01-08,111.3
2003-01-09,114
2003-01-10,112.8
2003-01-13,115.5
2003-01-14,119.5
2003-01-15,120
2003-01-16,121.1
2003-01-17,125
2003-01-21,123.1
2003-01-22,121.9
2003-01-23,128
2003-01-24,121
2003-01-27,116
2003-01-28,109.3
2003-01-29,110.9
2003-01-30,107.7
2003-01-31,107
2003-02-03,105.7
2003-02-04,107.6
2003-02-05,112.5
2003-02-06,114.1
2003-02-07,113.4
2003-02-10,114.1
2003-02-11,113.3
2003-02-12,115.2
2003-02-13,82.5
2003-02-14,82.7
2003-02-18,85.2
2003-02-19,85.5
2003-02-20,86.6
2003-02-21,84.6
2003-02-24,84.5
2003-02-25,82.5
2003-02-26,82
2003-02-27,79.7
2003-02-28,80
2003-03-03,81
2003-03-04,79.5
2003-03-05,79.7
2003-03-06,78.1
2003-03-07,77.8
2003-03-10,73.4
2003-03-11,66
2003-03-12,64
2003-03-13,66
2003-03-14,65.3
2003-03-17,70.3
2003-03-18,71.4
2003-03-19,72.6
2003-03-20,73.1
2003-03-21,79.6
2003-03-24,79.6
2003-03-25,80
2003-03-26,78
2003-03-27,79.1
2003-03-28,78
2003-03-31,82
2003-04-01,82.4
2003-04-02,83.3
2003-04-03,79.9
2003-04-04,82.8
2003-04-07,91
2003-04-08,91.1
2003-04-09,85.8
2003-04-10,85.9
2003-04-11,88.5
2003-04-14,91.8
2003-04-15,96.5
2003-04-16,97.6
2003-04-17,102
2003-04-21,105.9
2003-04-22,116
2003-04-23,120.4
2003-04-24,118.8
2003-04-25,119
2003-04-28,122
2003-04-29,115
2003-04-30,115.5
2003-05-01,103.8
2003-05-02,115
2003-05-05,119
2003-05-06,120.9
2003-05-07,114.9
2003-05-08,116.4
2003-05-09,116
2003-05-12,122.2
2003-05-13,123.4
2003-05-14,122.6
2003-05-15,121.2
2003-05-16,117
2003-05-19,113.2
2003-05-20,110
2003-05-21,109.9
2003-05-22,110.1
2003-05-23,114.1
2003-05-27,114.9
2003-05-28,114.4
2003-05-29,114
2003-05-30,117.4
2003-06-02,126
2003-06-03,128
2003-06-04,132
2003-06-05,135.8
2003-06-06,130
2003-06-09,126.5
2003-06-10,124.6
2003-06-11,126.5
2003-06-12,135.5
2003-06-13,137
2003-06-16,140
2003-06-17,138
2003-06-18,139.3
2003-06-19,137.7
2003-06-20,140.7
2003-06-23,136.2
2003-06-24,143.7
2003-06-25,141.3
2003-06-26,155.7
2003-06-27,149.3
2003-06-30,151
2003-07-01,150.2
2003-07-02,149.8
2003-07-03,145.4
2003-07-07,154
2003-07-08,158
2003-07-09,158.2
2003-07-10,154.7
2003-07-11,152
2003-07-14,155.8
2003-07-15,155.5
2003-07-16,154
2003-07-17,143
2003-07-18,148
2003-07-21,150.4
2003-07-22,151.9
2003-07-23,150
2003-07-24,150
2003-07-25,152
2003-07-28,155.4
2003-07-29,139.5
2003-07-30,139.5
2003-07-31,134.4
2003-08-01,127.7
2003-08-04,130.8
2003-08-05,126
2003-08-06,121.3
2003-08-07,121.9
2003-08-08,127.5
2003-08-11,124
2003-08-12,129.9
2003-08-13,133
2003-08-14,136
2003-08-15,134.3
2003-08-18,137.8
2003-08-19,135.1
2003-08-20,138.5
2003-08-21,138.6
2003-08-22,138.4
2003-08-25,132.9
2003-08-26,136.5
2003-08-27,134.4
2003-08-28,137
2003-08-29,135.5
2003-09-02,142.8
2003-09-03,150
2003-09-04,149.7
2003-09-05,149.9
2003-09-08,147.3
2003-09-09,145
2003-09-10,139.4
2003-09-11,145.5
2003-09-12,146.2
2003-09-15,146.1
2003-09-16,149.9
2003-09-17,145.1
2003-09-18,146.4
2003-09-19,147.5
2003-09-22,142.5
2003-09-23,144.7
2003-09-24,141.8
2003-09-25,138.6
2003-09-26,135.4
2003-09-29,138.5
2003-09-30,138
2003-10-01,140
2003-10-02,148.1
2003-10-03,143.9
2003-10-06,143.9
2003-10-07,150
2003-10-08,149.9
2003-10-09,148.5
2003-10-10,149.5
2003-10-13,153.2
2003-10-14,149
2003-10-15,142.5
2003-10-16,145.6
2003-10-17,144.4
2003-10-20,150.1
2003-10-21,151.3
2003-10-22,148.7
2003-10-23,147.3
2003-10-24,143.9
2003-10-27,146.3
2003-10-28,149
2003-10-29,151.2
2003-10-30,153
2003-10-31,153
2003-11-03,155.4
2003-11-04,151.3
2003-11-05,152.3
2003-11-06,153.9
2003-11-07,161.3
2003-11-10,166.1
2003-11-11,163.5
2003-11-12,166.5
2003-11-13,171.5
2003-11-14,170.6
2003-11-17,167.7
2003-11-18,155.3
2003-11-19,149.2
2003-11-20,149
2003-11-21,153
2003-11-24,155.3
2003-11-25,156
2003-11-26,154.2
2003-11-28,157.1
2003-12-01,159.6
2003-12-02,155.4
2003-12-03,150
2003-12-04,148.8
2003-12-05,144
2003-12-08,149
2003-12-09,147.3
2003-12-10,145.3
2003-12-11,154
2003-12-12,154.2
2003-12-15,150.1
2003-12-16,149.4
2003-12-17,150.9
2003-12-18,150.1
2003-12-19,149.2
2003-12-22,150.4
2003-12-23,151
2003-12-24,151.1
2003-12-26,152.9
2003-12-29,151.3
2003-12-30,151.4
2003-12-31,150
2004-01-02,151.8
2004-01-05,153
2004-01-06,155.5
2004-01-07,154.9
2004-01-08,149.6
2004-01-09,147.9
2004-01-12,138.8
2004-01-13,142.5
2004-01-14,141.4
2004-01-15,139.5
2004-01-16,138.9
2004-01-20,147.5
2004-01-21,151.9
2004-01-22,152.5
2004-01-23,152.5
2004-01-26,154.1
2004-01-27,155.5
2004-01-28,146.8
2004-01-29,149.5
2004-01-30,141.7
2004-02-02,138
2004-02-03,136.3
2004-02-04,135
2004-02-05,138.7
2004-02-06,141.5
2004-02-09,139.2
2004-02-10,134.6
2004-02-11,137.9
2004-02-12,139.4
2004-02-13,137.9
2004-02-17,140.7
2004-02-18,139.6
2004-02-19,141
2004-02-20,138.9
2004-02-23,132.3
2004-02-24,133
2004-02-25,134
2004-02-26,136.8
2004-02-27,137.3
2004-03-01,137.8
2004-03-02,133.5
2004-03-03,135
2004-03-04,137.5
2004-03-05,135.8
2004-03-08,131.6
2004-03-09,129.5
2004-03-10,130.2
2004-03-11,126.7
2004-03-12,127.1
2004-03-15,124.2
2004-03-16,121.8
2004-03-17,123
2004-03-18,124.8
2004-03-19,125
2004-03-22,116
2004-03-23,119.5
2004-03-24,114.1
2004-03-25,120.8
2004-03-26,121
2004-03-29,123.1
2004-03-30,120.9
2004-03-31,124.4
2004-04-01,127
2004-04-02,131.2
2004-04-05,131.3
2004-04-06,134.1
2004-04-07,133.3
2004-04-08,131.2
2004-04-12,130.5
2004-04-13,123.6
2004-04-14,125.6
2004-04-15,124.8
2004-04-16,125.2
2004-04-19,128
2004-04-20,129.3
2004-04-21,128.5
2004-04-22,135.2
2004-04-23,134.4
